Province,District,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hà Nội,Ba Đình,27.544867,28.679354,32.145739,32.225583,35.564069,33.412079,32.523328,33.871398,31.595524
Hà Nội,Bắc Từ Liêm,14.465978,12.031275,17.640356,15.177015,15.831252,17.105093,17.325874,18.429685,16.730398
Hà Nội,Chương Mỹ,0.787131,0.843701,0.973914,0.957636,1.154887,1.372257,1.512954,1.563662,1.912387
Hà Nội,Cầu Giấy,28.351264,29.393028,33.909928,35.223935,38.726628,35.319607,36.577241,37.269322,32.845261
Hà Nội,Gia Lâm,3.457816,3.999995,4.600915,5.114452,5.629801,6.349147,7.111839,9.693072,9.566569
Hà Nội,Hai Bà Trưng,23.678225,23.795061,29.282167,28.981973,30.881696,30.953987,31.581673,32.028746,29.247713
Hà Nội,Hoài Đức,4.156738,4.567765,5.679537,5.845041,6.139516,6.997508,7.474776,8.509565,8.778137
Hà Nội,Hoàn Kiếm,31.598076,31.778472,42.727065,42.349883,47.253184,44.857207,38.405503,40.404141,37.879607
Hà Nội,Hoàng Mai,11.901622,13.032162,15.157077,16.906123,18.555761,18.00163,17.950082,18.018603,16.404285
Hà Nội,Hà Đông,8.777979,10.232548,11.337116,12.457716,14.424054,14.387842,16.391901,17.303021,15.532108
Hà Nội,Long Biên,10.086178,10.895814,14.248997,15.514032,16.513897,17.281646,18.366732,18.13338,16.990051
Hà Nội,Mê Linh,2.549243,2.486087,3.428289,3.456235,3.363606,5.263254,5.662998,7.332515,6.758138
Hà Nội,Mỹ Đức,0.260686,0.367657,0.437714,0.391338,0.463137,0.631081,0.667606,0.766671,0.813606
Hà Nội,Nam Từ Liêm,13.154679,15.593241,18.81374,19.593936,24.133103,23.706661,24.608552,26.32049,23.669814
Hà Nội,Phú Xuyên,0.61232,0.669802,0.84004,0.834204,0.997433,1.158529,1.352089,1.336794,1.505828
Hà Nội,Phúc Thọ,0.700984,0.831244,1.018523,1.057037,1.158906,1.400277,1.62226,1.920878,2.017565
Hà Nội,Quốc Oai,1.200992,1.151616,1.389826,1.564932,1.594679,1.828836,2.275847,2.609733,2.712913
Hà Nội,Sóc Sơn,1.427271,1.725379,1.963988,2.553806,2.406671,3.092269,3.085072,3.454657,2.886324
